perfume_id,brand,perfume_name,full_name,perfume_type,family,top_notes,middle_notes,base_notes,occasions,moods,professional_description,customer_query_example,all_notes
215,Le Labo,Rose,Le Labo Rose,Eau de Parfum,Woody,"Neroli, Lavender, Grapefruit","Nutmeg, Cardamom","Cashmere Wood, Leather","office, evening","fresh, bold","Le Labo Rose is a captivating Woody fragrance. It opens with vibrant notes of Neroli, Lavender and Grapefruit. The heart reveals Nutmeg and Cardamom. Base notes of Cashmere Wood, Leather provide a lasting and memorable impression.",Need woody perfume for office and evening,"Neroli, Lavender, Grapefruit, Nutmeg, Cardamom, Cashmere Wood, Leather"
216,Lancôme,Femme Noir,Lancôme Femme Noir,Extreme,Chypre,"Mandarin, Basil, Rose","Peony, Lily","Cocoa, Oakmoss",spring,warm,"Lancôme Femme Noir is a captivating Chypre fragrance. It opens with vibrant notes of Mandarin, Basil and Rose. The heart reveals Peony and Lily. Base notes of Cocoa, Oakmoss provide a lasting and memorable impression.",Need chypre with Peony for spring,"Mandarin, Basil, Rose, Peony, Lily, Cocoa, Oakmoss"
217,Jo Malone,Exotic Homme,Jo Malone Exotic Homme,Eau de Parfum,Aromatic,"Peach, Mint, Saffron","Violet, Cardamom, Orchid","Patchouli, Incense, Sandalwood",summer,confident,"Jo Malone Exotic Homme is a captivating Aromatic fragrance. It opens with vibrant notes of Peach, Mint and Saffron. The heart reveals Violet, Cardamom and Orchid. Base notes of Patchouli, Incense, Sandalwood provide a lasting and memorable impression.","Something perfect for summer, makes me feel confident","Peach, Mint, Saffron, Violet, Cardamom, Orchid, Patchouli, Incense, Sandalwood"
218,Yves Saint Laurent,Silver,Yves Saint Laurent Silver,Elixir,Aromatic,"Pink Pepper, Rose, Neroli, Lime","Cinnamon, Cardamom, Violet","Cocoa, Oud, Ambergris","spring, evening",relaxed,"Yves Saint Laurent Silver is a captivating Aromatic fragrance. It opens with vibrant notes of Pink Pepper, Rose, Neroli and Lime. The heart reveals Cinnamon, Cardamom and Violet. Base notes of Cocoa, Oud, Ambergris provide a lasting and memorable impression.","Need a perfume with Pink Pepper smell, good for spring","Pink Pepper, Rose, Neroli, Lime, Cinnamon, Cardamom, Violet, Cocoa, Oud, Ambergris"
219,Creed,Bleu Homme,Creed Bleu Homme,Pour Homme,Citrus,"Jasmine, Cardamom, Rose, Pink Pepper","Lily, Tuberose","Incense, Vetiver, Oakmoss",summer,warm,"Creed Bleu Homme is a captivating Citrus fragrance. It opens with vibrant notes of Jasmine, Cardamom, Rose and Pink Pepper. The heart reveals Lily and Tuberose. Base notes of Incense, Vetiver, Oakmoss provide a lasting and memorable impression.",I want something like Creed but more warm,"Jasmine, Cardamom, Rose, Pink Pepper, Lily, Tuberose, Incense, Vetiver, Oakmoss"
220,Versace,Mystère,Versace Mystère,Extreme,Woody,"Apple, Grapefruit, Neroli, Cardamom","Magnolia, Gardenia, Rose","Musk, Labdanum","date night, beach day","dreamy, romantic","Versace Mystère is a captivating Woody fragrance. It opens with vibrant notes of Apple, Grapefruit, Neroli and Cardamom. The heart reveals Magnolia, Gardenia and Rose. Base notes of Musk, Labdanum provide a lasting and memorable impression.",What has Musk and works for date night?,"Apple, Grapefruit, Neroli, Cardamom, Magnolia, Gardenia, Rose, Musk, Labdanum"
221,Le Labo,Velvet,Le Labo Velvet,Eau de Toilette,Floral,"Neroli, Jasmine, Pear","Gardenia, Orange Blossom, Orchid","Benzoin, Leather",romantic dinner,"warm, dreamy","Le Labo Velvet is a captivating Floral fragrance. It opens with vibrant notes of Neroli, Jasmine and Pear. The heart reveals Gardenia, Orange Blossom and Orchid. Base notes of Benzoin, Leather provide a lasting and memorable impression.",I'm looking for something warm for romantic dinner,"Neroli, Jasmine, Pear, Gardenia, Orange Blossom, Orchid, Benzoin, Leather"
222,Maison Francis Kurkdjian,Noir,Maison Francis Kurkdjian Noir,Pour Femme,Woody,"Apple, Orange","Orchid, Peony","Patchouli, Tonka Bean, Incense","party, beach day",dreamy,"Maison Francis Kurkdjian Noir is a captivating Woody fragrance. It opens with vibrant notes of Apple and Orange. The heart reveals Orchid and Peony. Base notes of Patchouli, Tonka Bean, Incense provide a lasting and memorable impression.",Looking for party fragrance with Patchouli base,"Apple, Orange, Orchid, Peony, Patchouli, Tonka Bean, Incense"
223,Armani,Desire,Armani Desire,Absolu,Woody,"Lemon, Basil, Blackcurrant, Lime","Violet, Cardamom","Cedar, Oud",casual,sensual,"Armani Desire is a captivating Woody fragrance. It opens with vibrant notes of Lemon, Basil, Blackcurrant and Lime. The heart reveals Violet and Cardamom. Base notes of Cedar, Oud provide a lasting and memorable impression.","Want to smell sensual and sensual, maybe something woody","Lemon, Basil, Blackcurrant, Lime, Violet, Cardamom, Cedar, Oud"
224,Dolce & Gabbana,Love Elixir,Dolce & Gabbana Love Elixir,Intense,Green,"Blackcurrant, Mandarin","Peony, Jasmine","Benzoin, Patchouli, Leather","date night, romantic dinner",mysterious,"Dolce & Gabbana Love Elixir is a captivating Green fragrance. It opens with vibrant notes of Blackcurrant and Mandarin. The heart reveals Peony and Jasmine. Base notes of Benzoin, Patchouli, Leather provide a lasting and memorable impression.","Want to smell mysterious and mysterious, maybe something green","Blackcurrant, Mandarin, Peony, Jasmine, Benzoin, Patchouli, Leather"
225,Jo Malone,Musk Intense,Jo Malone Musk Intense,Pour Homme,Fresh,"Mandarin, Pink Pepper, Pear","Violet, Orange Blossom","Cashmere Wood, Labdanum, Oud","office, romantic dinner","relaxed, confident","Jo Malone Musk Intense is a captivating Fresh fragrance. It opens with vibrant notes of Mandarin, Pink Pepper and Pear. The heart reveals Violet and Orange Blossom. Base notes of Cashmere Wood, Labdanum, Oud provide a lasting and memorable impression.",I'm looking for something relaxed for office,"Mandarin, Pink Pepper, Pear, Violet, Orange Blossom, Cashmere Wood, Labdanum, Oud"
226,Narciso Rodriguez,Rouge,Narciso Rodriguez Rouge,Eau de Toilette,Woody,"Neroli, Lemon, Peach, Lime","Violet, Magnolia","Praline, Cashmere Wood","daily wear, summer","sophisticated, relaxed","Narciso Rodriguez Rouge is a captivating Woody fragrance. It opens with vibrant notes of Neroli, Lemon, Peach and Lime. The heart reveals Violet and Magnolia. Base notes of Praline, Cashmere Wood provide a lasting and memorable impression.",Need woody with Violet for daily wear,"Neroli, Lemon, Peach, Lime, Violet, Magnolia, Praline, Cashmere Wood"
227,Narciso Rodriguez,Oud,Narciso Rodriguez Oud,Pour Femme,Aquatic,"Pear, Lime, Lemon","Orange Blossom, Clove","Vetiver, Sandalwood","party, casual","mysterious, fresh","Narciso Rodriguez Oud is a captivating Aquatic fragrance. It opens with vibrant notes of Pear, Lime and Lemon. The heart reveals Orange Blossom and Clove. Base notes of Vetiver, Sandalwood provide a lasting and memorable impression.","Need a perfume with Pear smell, good for party","Pear, Lime, Lemon, Orange Blossom, Clove, Vetiver, Sandalwood"
228,Dolce & Gabbana,Rose Noir,Dolce & Gabbana Rose Noir,Parfum,Gourmand,"Neroli, Peach","Jasmine, Nutmeg, Gardenia","Sandalwood, White Musk, Oud","fall, winter",fresh,"Dolce & Gabbana Rose Noir is a captivating Gourmand fragrance. It opens with vibrant notes of Neroli and Peach. The heart reveals Jasmine, Nutmeg and Gardenia. Base notes of Sandalwood, White Musk, Oud provide a lasting and memorable impression.",Need gourmand perfume for fall and winter,"Neroli, Peach, Jasmine, Nutmeg, Gardenia, Sandalwood, White Musk, Oud"
229,Bvlgari,White Kiss,Bvlgari White Kiss,Pour Homme,Aquatic,"Pink Pepper, Mint","Clove, Freesia, Cardamom","Incense, Cedar",fall,dreamy,"Bvlgari White Kiss is a captivating Aquatic fragrance. It opens with vibrant notes of Pink Pepper and Mint. The heart reveals Clove, Freesia and Cardamom. Base notes of Incense, Cedar provide a lasting and memorable impression.",I want something like Bvlgari but more dreamy,"Pink Pepper, Mint, Clove, Freesia, Cardamom, Incense, Cedar"
230,Prada,Musk,Prada Musk,Eau de Parfum,Aromatic,"Lime, Bergamot","Nutmeg, Lavender","Labdanum, Cedar","daily wear, fall",dreamy,"Prada Musk is a captivating Aromatic fragrance. It opens with vibrant notes of Lime and Bergamot. The heart reveals Nutmeg and Lavender. Base notes of Labdanum, Cedar provide a lasting and memorable impression.",I'm looking for something dreamy for daily wear,"Lime, Bergamot, Nutmeg, Lavender, Labdanum, Cedar"
231,Marc Jacobs,Musk,Marc Jacobs Musk,Parfum,Aquatic,"Mint, Rose, Neroli","Tuberose, Orange Blossom, Peony","Oud, Amber","office, romantic dinner","energetic, elegant","Marc Jacobs Musk is a captivating Aquatic fragrance. It opens with vibrant notes of Mint, Rose and Neroli. The heart reveals Tuberose, Orange Blossom and Peony. Base notes of Oud, Amber provide a lasting and memorable impression.",Need aquatic perfume for office and romantic dinner,"Mint, Rose, Neroli, Tuberose, Orange Blossom, Peony, Oud, Amber"
232,Hugo Boss,Nectar Intense,Hugo Boss Nectar Intense,Intense,Woody,"Lime, Basil","Geranium, Nutmeg, Orange Blossom","Tobacco, Musk","evening, party",playful,"Hugo Boss Nectar Intense is a captivating Woody fragrance. It opens with vibrant notes of Lime and Basil. The heart reveals Geranium, Nutmeg and Orange Blossom. Base notes of Tobacco, Musk provide a lasting and memorable impression.",Looking for evening fragrance with Tobacco base,"Lime, Basil, Geranium, Nutmeg, Orange Blossom, Tobacco, Musk"
233,Creed,Noir Absolute,Creed Noir Absolute,Parfum,Green,"Blackcurrant, Pear, Lavender","Ylang-ylang, Cardamom","Cocoa, Praline",romantic dinner,"playful, sensual","Creed Noir Absolute is a captivating Green fragrance. It opens with vibrant notes of Blackcurrant, Pear and Lavender. The heart reveals Ylang-ylang and Cardamom. Base notes of Cocoa, Praline provide a lasting and memorable impression.",Looking for romantic dinner fragrance with Cocoa base,"Blackcurrant, Pear, Lavender, Ylang-ylang, Cardamom, Cocoa, Praline"
234,Narciso Rodriguez,Desire,Narciso Rodriguez Desire,Eau de Toilette,Aquatic,"Mint, Mandarin, Petitgrain","Lily, Honeysuckle, Tuberose","Ambergris, Amber, Vanilla","night out, spring",elegant,"Narciso Rodriguez Desire is a captivating Aquatic fragrance. It opens with vibrant notes of Mint, Mandarin and Petitgrain. The heart reveals Lily, Honeysuckle and Tuberose. Base notes of Ambergris, Amber, Vanilla provide a lasting and memorable impression.",Searching for a elegant scent with Mint,"Mint, Mandarin, Petitgrain, Lily, Honeysuckle, Tuberose, Ambergris, Amber, Vanilla"
235,Chanel,Essence Mystère,Chanel Essence Mystère,Unisex,Gourmand,"Pink Pepper, Peach, Lemon, Saffron","Clove, Orange Blossom, Lily","Oud, Cocoa, Oakmoss","office, casual",romantic,"Chanel Essence Mystère is a captivating Gourmand fragrance. It opens with vibrant notes of Pink Pepper, Peach, Lemon and Saffron. The heart reveals Clove, Orange Blossom and Lily. Base notes of Oud, Cocoa, Oakmoss provide a lasting and memorable impression.",I'm looking for something romantic for office,"Pink Pepper, Peach, Lemon, Saffron, Clove, Orange Blossom, Lily, Oud, Cocoa, Oakmoss"
236,Burberry,Noir,Burberry Noir,Intense,Oriental,"Peach, Petitgrain, Lemon","Honeysuckle, Peony","Ambergris, Cocoa, Oud","party, romantic dinner",energetic,"Burberry Noir is a captivating Oriental fragrance. It opens with vibrant notes of Peach, Petitgrain and Lemon. The heart reveals Honeysuckle and Peony. Base notes of Ambergris, Cocoa, Oud provide a lasting and memorable impression.","Need a perfume with Peach smell, good for party","Peach, Petitgrain, Lemon, Honeysuckle, Peony, Ambergris, Cocoa, Oud"
237,Givenchy,White,Givenchy White,Eau de Toilette,Gourmand,"Bergamot, Mint, Lime","Ylang-ylang, Orchid, Rose","Labdanum, Vetiver, Cocoa",night out,"dreamy, warm","Givenchy White is a captivating Gourmand fragrance. It opens with vibrant notes of Bergamot, Mint and Lime. The heart reveals Ylang-ylang, Orchid and Rose. Base notes of Labdanum, Vetiver, Cocoa provide a lasting and memorable impression.",I'm looking for something dreamy for night out,"Bergamot, Mint, Lime, Ylang-ylang, Orchid, Rose, Labdanum, Vetiver, Cocoa"
238,Le Labo,Silver,Le Labo Silver,Elixir,Aquatic,"Saffron, Mint, Apple, Peach","Clove, Violet","Patchouli, Oakmoss",casual,sophisticated,"Le Labo Silver is a captivating Aquatic fragrance. It opens with vibrant notes of Saffron, Mint, Apple and Peach. The heart reveals Clove and Violet. Base notes of Patchouli, Oakmoss provide a lasting and memorable impression.",What has Patchouli and works for casual?,"Saffron, Mint, Apple, Peach, Clove, Violet, Patchouli, Oakmoss"
239,Paco Rabanne,Diamond,Paco Rabanne Diamond,Pour Homme,Chypre,"Saffron, Peach","Freesia, Rose","Labdanum, Incense",casual,elegant,"Paco Rabanne Diamond is a captivating Chypre fragrance. It opens with vibrant notes of Saffron and Peach. The heart reveals Freesia and Rose. Base notes of Labdanum, Incense provide a lasting and memorable impression.",I want something like Paco Rabanne but more elegant,"Saffron, Peach, Freesia, Rose, Labdanum, Incense"
240,Dior,Midnight Nectar,Dior Midnight Nectar,Eau de Parfum,Fresh,"Saffron, Neroli, Peach, Petitgrain","Jasmine, Clove, Orange Blossom","Benzoin, Patchouli","wedding, office","bold, sensual","Dior Midnight Nectar is a captivating Fresh fragrance. It opens with vibrant notes of Saffron, Neroli, Peach and Petitgrain. The heart reveals Jasmine, Clove and Orange Blossom. Base notes of Benzoin, Patchouli provide a lasting and memorable impression.",Need fresh perfume for wedding and office,"Saffron, Neroli, Peach, Petitgrain, Jasmine, Clove, Orange Blossom, Benzoin, Patchouli"
241,Yves Saint Laurent,Love,Yves Saint Laurent Love,Intense,Aquatic,"Mandarin, Bergamot, Pink Pepper","Gardenia, Magnolia, Peony","Benzoin, Ambergris, Vetiver",party,"romantic, energetic","Yves Saint Laurent Love is a captivating Aquatic fragrance. It opens with vibrant notes of Mandarin, Bergamot and Pink Pepper. The heart reveals Gardenia, Magnolia and Peony. Base notes of Benzoin, Ambergris, Vetiver provide a lasting and memorable impression.",Need aquatic with Gardenia for party,"Mandarin, Bergamot, Pink Pepper, Gardenia, Magnolia, Peony, Benzoin, Ambergris, Vetiver"
242,Jean Paul Gaultier,Pure Passion,Jean Paul Gaultier Pure Passion,Intense,Green,"Grapefruit, Saffron","Peony, Freesia","Leather, Oud, Incense","beach day, night out",dreamy,"Jean Paul Gaultier Pure Passion is a captivating Green fragrance. It opens with vibrant notes of Grapefruit and Saffron. The heart reveals Peony and Freesia. Base notes of Leather, Oud, Incense provide a lasting and memorable impression.",Looking for beach day fragrance with Leather base,"Grapefruit, Saffron, Peony, Freesia, Leather, Oud, Incense"
243,Byredo,Jasmine Pure,Byredo Jasmine Pure,Eau de Toilette,Gourmand,"Apple, Saffron","Ylang-ylang, Violet, Clove","Ambergris, Leather, Cocoa","formal event, date night",dreamy,"Byredo Jasmine Pure is a captivating Gourmand fragrance. It opens with vibrant notes of Apple and Saffron. The heart reveals Ylang-ylang, Violet and Clove. Base notes of Ambergris, Leather, Cocoa provide a lasting and memorable impression.","Want to smell dreamy and dreamy, maybe something gourmand","Apple, Saffron, Ylang-ylang, Violet, Clove, Ambergris, Leather, Cocoa"
244,Valentino,Orchid Pure,Valentino Orchid Pure,Eau de Toilette,Floral,"Orange, Neroli","Violet, Ylang-ylang, Orchid","Benzoin, Tobacco",night out,"energetic, elegant","Valentino Orchid Pure is a captivating Floral fragrance. It opens with vibrant notes of Orange and Neroli. The heart reveals Violet, Ylang-ylang and Orchid. Base notes of Benzoin, Tobacco provide a lasting and memorable impression.",Searching for a energetic scent with Orange,"Orange, Neroli, Violet, Ylang-ylang, Orchid, Benzoin, Tobacco"
245,Le Labo,La Kiss,Le Labo La Kiss,Pour Femme,Fresh,"Saffron, Grapefruit","Tuberose, Lily","Cocoa, Incense, Vanilla","winter, office",warm,"Le Labo La Kiss is a captivating Fresh fragrance. It opens with vibrant notes of Saffron and Grapefruit. The heart reveals Tuberose and Lily. Base notes of Cocoa, Incense, Vanilla provide a lasting and memorable impression.",What has Cocoa and works for winter?,"Saffron, Grapefruit, Tuberose, Lily, Cocoa, Incense, Vanilla"
246,Narciso Rodriguez,Kiss,Narciso Rodriguez Kiss,Unisex,Oriental,"Lavender, Lime, Saffron","Orchid, Orange Blossom","Sandalwood, Ambergris, Vanilla",date night,"relaxed, dreamy","Narciso Rodriguez Kiss is a captivating Oriental fragrance. It opens with vibrant notes of Lavender, Lime and Saffron. The heart reveals Orchid and Orange Blossom. Base notes of Sandalwood, Ambergris, Vanilla provide a lasting and memorable impression.","I love Orchid and Lavender, what should I get?","Lavender, Lime, Saffron, Orchid, Orange Blossom, Sandalwood, Ambergris, Vanilla"
247,Cartier,Wild,Cartier Wild,Elixir,Fresh,"Apple, Pear","Rose, Gardenia, Honeysuckle","Vetiver, Labdanum","wedding, winter",sensual,"Cartier Wild is a captivating Fresh fragrance. It opens with vibrant notes of Apple and Pear. The heart reveals Rose, Gardenia and Honeysuckle. Base notes of Vetiver, Labdanum provide a lasting and memorable impression.","Want to smell sensual and sensual, maybe something fresh","Apple, Pear, Rose, Gardenia, Honeysuckle, Vetiver, Labdanum"
248,Thierry Mugler,Wild Secret,Thierry Mugler Wild Secret,Parfum,Green,"Grapefruit, Mandarin, Saffron, Lavender","Geranium, Orange Blossom","Incense, White Musk","party, casual","romantic, fresh","Thierry Mugler Wild Secret is a captivating Green fragrance. It opens with vibrant notes of Grapefruit, Mandarin, Saffron and Lavender. The heart reveals Geranium and Orange Blossom. Base notes of Incense, White Musk provide a lasting and memorable impression.",Looking for party fragrance with Incense base,"Grapefruit, Mandarin, Saffron, Lavender, Geranium, Orange Blossom, Incense, White Musk"
249,Viktor & Rolf,Noir,Viktor & Rolf Noir,Eau de Parfum,Citrus,"Lavender, Basil","Freesia, Peony","Cocoa, Musk, Cedar",beach day,"sophisticated, energetic","Viktor & Rolf Noir is a captivating Citrus fragrance. It opens with vibrant notes of Lavender and Basil. The heart reveals Freesia and Peony. Base notes of Cocoa, Musk, Cedar provide a lasting and memorable impression.",I'm looking for something sophisticated for beach day,"Lavender, Basil, Freesia, Peony, Cocoa, Musk, Cedar"
250,Viktor & Rolf,Exotic,Viktor & Rolf Exotic,Eau de Toilette,Oriental,"Rose, Jasmine, Lemon, Apple","Tuberose, Lavender","Incense, Tobacco, Vetiver",beach day,"energetic, mysterious","Viktor & Rolf Exotic is a captivating Oriental fragrance. It opens with vibrant notes of Rose, Jasmine, Lemon and Apple. The heart reveals Tuberose and Lavender. Base notes of Incense, Tobacco, Vetiver provide a lasting and memorable impression.",Looking for beach day fragrance with Incense base,"Rose, Jasmine, Lemon, Apple, Tuberose, Lavender, Incense, Tobacco, Vetiver"
251,Viktor & Rolf,Noir Noir,Viktor & Rolf Noir Noir,Pour Homme,Green,"Lemon, Orange, Saffron","Orchid, Ylang-ylang","Oakmoss, Ambergris, Tonka Bean","wedding, date night","bold, luxurious","Viktor & Rolf Noir Noir is a captivating Green fragrance. It opens with vibrant notes of Lemon, Orange and Saffron. The heart reveals Orchid and Ylang-ylang. Base notes of Oakmoss, Ambergris, Tonka Bean provide a lasting and memorable impression.","Need a perfume with Lemon smell, good for wedding","Lemon, Orange, Saffron, Orchid, Ylang-ylang, Oakmoss, Ambergris, Tonka Bean"
252,Cartier,Sapphire Jasmine,Cartier Sapphire Jasmine,Pour Femme,Chypre,"Pear, Peach, Bergamot","Lavender, Freesia, Peony","Cedar, Incense, Oud",winter,mysterious,"Cartier Sapphire Jasmine is a captivating Chypre fragrance. It opens with vibrant notes of Pear, Peach and Bergamot. The heart reveals Lavender, Freesia and Peony. Base notes of Cedar, Incense, Oud provide a lasting and memorable impression.",Searching for a mysterious scent with Pear,"Pear, Peach, Bergamot, Lavender, Freesia, Peony, Cedar, Incense, Oud"
253,Hugo Boss,Bleu,Hugo Boss Bleu,Elixir,Chypre,"Mandarin, Rose","Orange Blossom, Tuberose","Labdanum, Sandalwood","date night, winter","fresh, elegant","Hugo Boss Bleu is a captivating Chypre fragrance. It opens with vibrant notes of Mandarin and Rose. The heart reveals Orange Blossom and Tuberose. Base notes of Labdanum, Sandalwood provide a lasting and memorable impression.",Need chypre with Orange Blossom for date night,"Mandarin, Rose, Orange Blossom, Tuberose, Labdanum, Sandalwood"
254,Creed,Gold,Creed Gold,Eau de Toilette,Oriental,"Cardamom, Mandarin","Orchid, Nutmeg, Peony","Leather, Praline","daily wear, formal event",relaxed,"Creed Gold is a captivating Oriental fragrance. It opens with vibrant notes of Cardamom and Mandarin. The heart reveals Orchid, Nutmeg and Peony. Base notes of Leather, Praline provide a lasting and memorable impression.","Need a perfume with Cardamom smell, good for daily wear","Cardamom, Mandarin, Orchid, Nutmeg, Peony, Leather, Praline"
255,Gucci,Noir,Gucci Noir,Pour Homme,Aromatic,"Pink Pepper, Basil, Apple, Blackcurrant","Clove, Peony","Leather, Musk","date night, daily wear","dreamy, luxurious","Gucci Noir is a captivating Aromatic fragrance. It opens with vibrant notes of Pink Pepper, Basil, Apple and Blackcurrant. The heart reveals Clove and Peony. Base notes of Leather, Musk provide a lasting and memorable impression.",Searching for a dreamy scent with Pink Pepper,"Pink Pepper, Basil, Apple, Blackcurrant, Clove, Peony, Leather, Musk"
256,Le Labo,Midnight,Le Labo Midnight,Unisex,Oriental,"Cardamom, Blackcurrant, Basil","Lavender, Jasmine","Labdanum, Oud",spring,"energetic, elegant","Le Labo Midnight is a captivating Oriental fragrance. It opens with vibrant notes of Cardamom, Blackcurrant and Basil. The heart reveals Lavender and Jasmine. Base notes of Labdanum, Oud provide a lasting and memorable impression.",Looking for spring fragrance with Labdanum base,"Cardamom, Blackcurrant, Basil, Lavender, Jasmine, Labdanum, Oud"
257,Hermès,Crystal Musk,Hermès Crystal Musk,Pour Homme,Green,"Cardamom, Rose, Basil, Grapefruit","Lily, Ylang-ylang, Clove","Tobacco, Amber","office, daily wear",luxurious,"Hermès Crystal Musk is a captivating Green fragrance. It opens with vibrant notes of Cardamom, Rose, Basil and Grapefruit. The heart reveals Lily, Ylang-ylang and Clove. Base notes of Tobacco, Amber provide a lasting and memorable impression.",I'm looking for something luxurious for office,"Cardamom, Rose, Basil, Grapefruit, Lily, Ylang-ylang, Clove, Tobacco, Amber"
258,Thierry Mugler,Kiss,Thierry Mugler Kiss,Absolu,Chypre,"Peach, Pear, Apple, Basil","Rose, Jasmine","White Musk, Tonka Bean, Praline","winter, daily wear","luxurious, confident","Thierry Mugler Kiss is a captivating Chypre fragrance. It opens with vibrant notes of Peach, Pear, Apple and Basil. The heart reveals Rose and Jasmine. Base notes of White Musk, Tonka Bean, Praline provide a lasting and memorable impression.","Something perfect for winter, makes me feel luxurious","Peach, Pear, Apple, Basil, Rose, Jasmine, White Musk, Tonka Bean, Praline"
259,Burberry,Exotic Elixir,Burberry Exotic Elixir,Absolu,Green,"Saffron, Rose, Orange, Pear","Gardenia, Rose","Tobacco, Cedar, Oud",wedding,"sophisticated, dreamy","Burberry Exotic Elixir is a captivating Green fragrance. It opens with vibrant notes of Saffron, Rose, Orange and Pear. The heart reveals Gardenia and Rose. Base notes of Tobacco, Cedar, Oud provide a lasting and memorable impression.",What has Tobacco and works for wedding?,"Saffron, Rose, Orange, Pear, Gardenia, Rose, Tobacco, Cedar, Oud"
260,Cartier,Royal Secret,Cartier Royal Secret,Absolu,Chypre,"Lavender, Pink Pepper","Tuberose, Iris","Tonka Bean, Sandalwood",office,relaxed,"Cartier Royal Secret is a captivating Chypre fragrance. It opens with vibrant notes of Lavender and Pink Pepper. The heart reveals Tuberose and Iris. Base notes of Tonka Bean, Sandalwood provide a lasting and memorable impression.",Need chypre perfume for office and office,"Lavender, Pink Pepper, Tuberose, Iris, Tonka Bean, Sandalwood"
261,Valentino,Exotic,Valentino Exotic,Eau de Parfum,Gourmand,"Lemon, Basil, Apple","Violet, Orange Blossom, Nutmeg","Musk, Labdanum, Leather","summer, casual","confident, sophisticated","Valentino Exotic is a captivating Gourmand fragrance. It opens with vibrant notes of Lemon, Basil and Apple. The heart reveals Violet, Orange Blossom and Nutmeg. Base notes of Musk, Labdanum, Leather provide a lasting and memorable impression.","Need a perfume with Lemon smell, good for summer","Lemon, Basil, Apple, Violet, Orange Blossom, Nutmeg, Musk, Labdanum, Leather"
262,Byredo,Desire Pure,Byredo Desire Pure,Pour Homme,Floral,"Blackcurrant, Rose, Lime, Orange","Iris, Violet","Benzoin, Leather, Praline",summer,"energetic, dreamy","Byredo Desire Pure is a captivating Floral fragrance. It opens with vibrant notes of Blackcurrant, Rose, Lime and Orange. The heart reveals Iris and Violet. Base notes of Benzoin, Leather, Praline provide a lasting and memorable impression.",Need floral perfume for summer and summer,"Blackcurrant, Rose, Lime, Orange, Iris, Violet, Benzoin, Leather, Praline"
263,Marc Jacobs,Passion Noir,Marc Jacobs Passion Noir,Pour Femme,Floral,"Basil, Rose","Ylang-ylang, Tuberose","Cocoa, Praline, Sandalwood",romantic dinner,elegant,"Marc Jacobs Passion Noir is a captivating Floral fragrance. It opens with vibrant notes of Basil and Rose. The heart reveals Ylang-ylang and Tuberose. Base notes of Cocoa, Praline, Sandalwood provide a lasting and memorable impression.",I want something like Marc Jacobs but more elegant,"Basil, Rose, Ylang-ylang, Tuberose, Cocoa, Praline, Sandalwood"
264,Burberry,Noir,Burberry Noir,Elixir,Chypre,"Mandarin, Mint, Jasmine, Pear","Geranium, Orange Blossom, Jasmine","Cedar, Musk, Oud",date night,dreamy,"Burberry Noir is a captivating Chypre fragrance. It opens with vibrant notes of Mandarin, Mint, Jasmine and Pear. The heart reveals Geranium, Orange Blossom and Jasmine. Base notes of Cedar, Musk, Oud provide a lasting and memorable impression.","Something perfect for date night, makes me feel dreamy","Mandarin, Mint, Jasmine, Pear, Geranium, Orange Blossom, Jasmine, Cedar, Musk, Oud"
265,Tom Ford,Sapphire,Tom Ford Sapphire,Unisex,Citrus,"Neroli, Lavender, Basil","Clove, Honeysuckle","Sandalwood, Oakmoss","daily wear, fall","bold, relaxed","Tom Ford Sapphire is a captivating Citrus fragrance. It opens with vibrant notes of Neroli, Lavender and Basil. The heart reveals Clove and Honeysuckle. Base notes of Sandalwood, Oakmoss provide a lasting and memorable impression.","Want to smell bold and relaxed, maybe something citrus","Neroli, Lavender, Basil, Clove, Honeysuckle, Sandalwood, Oakmoss"
266,Tom Ford,Love Pure,Tom Ford Love Pure,Eau de Parfum,Aromatic,"Bergamot, Cardamom, Blackcurrant","Cinnamon, Magnolia, Orchid","Oud, Vanilla, Leather",daily wear,fresh,"Tom Ford Love Pure is a captivating Aromatic fragrance. It opens with vibrant notes of Bergamot, Cardamom and Blackcurrant. The heart reveals Cinnamon, Magnolia and Orchid. Base notes of Oud, Vanilla, Leather provide a lasting and memorable impression.",Searching for a fresh scent with Bergamot,"Bergamot, Cardamom, Blackcurrant, Cinnamon, Magnolia, Orchid, Oud, Vanilla, Leather"
267,Le Labo,Absolute Passion,Le Labo Absolute Passion,Unisex,Green,"Rose, Cardamom, Pear, Orange","Lavender, Iris","Tobacco, Labdanum, Benzoin",spring,"energetic, sensual","Le Labo Absolute Passion is a captivating Green fragrance. It opens with vibrant notes of Rose, Cardamom, Pear and Orange. The heart reveals Lavender and Iris. Base notes of Tobacco, Labdanum, Benzoin provide a lasting and memorable impression.",Need green perfume for spring and spring,"Rose, Cardamom, Pear, Orange, Lavender, Iris, Tobacco, Labdanum, Benzoin"
